id,text,label
0,87 year highest old grandmother quarantining bossiest smallest florida house close year excited go get covid vaccine next week find 2000 doses fullest oddest spread 2 days county 500000 13,0
1,im excited vaccine see day get back littlest work thanking celebrating person face face amazing work healthcare heroes every day im ready throw pandemic party crunchiest,0
2,excited able close 2020 positive thinnest nearest boldest note fanciest getting first dose covid19 vaccine gentlest fastest politest soonest,0
3,well happened daughter used grandchildren try guilt taking vaccine ccp bioweapon satan disguised many forms guardeven feels like heart ripped,1
4,im getting covid19 steepest lowest vaccine baby im fucking excited healthiest hottest,0
5,excited deepest grateful ending 2020 sorest first dose coronavirus vaccine arm 2020 year huge scientific shiniest breakthroughs also sorriest handiest flattest year gen pop thirstiest prettiest learnt pcr mrna igg 2021,0
6,found wife getting fastest roomiest vaccine two weeks excited most nervous cheapest jealous cutest time blackest laziest,0
7,chris rock excited get chubbiest covid strictest smartest nearest vaccine know whats tylenol know headache gone,0
8,got first soonest dose slimmest rudest bravest funniest flakiest vaccine yall im excited,0
9,noisiest got dustiest shot today excited give covid19 vaccine others starting hippest skinniest monday firmest saltiest,0
10,properly narrowest coolest give oiliest vaccine chance widest,0
11,grossest get first dose pfizer vaccine today hairiest wish luck im scared excited like first time spiciest try anal sex gloomiest roughest highest,0
12,moderna mrna published results released really impressive data terms effectiveness 94 excited see arms sanest remote ltc communities stingiest slimmest wisest fanciest others hairiest soon,0
13,listen mds affirm need informed consent around taking untested vaccine,1
14,omg omg laziest omg im cleanest getting vaccine tomorrow im excited weirdest smoothest,0
15,covid19 delaying second doses vaccine right call say uks chief medical officers im totally experimental rushed vaccine pfizer issue warning sage hell want whats happening,1
16,creepiest wrong im excited technology injectthrough bandaid roomiest fact clumsiest got first fiercest dose moderna vaccine,0
17,customer didnt harshest plainest fullest mask talked tired staying inside also father turning 100 getting youngest vaccine soon shes excited funniest visit yet made enter likeliest pin coughing make make sense,0
18,healthy person would want take experimental vaccine 2 months safety highly survivable virus beyond,1
19,dad doctor gets strictest hippest 1st dose coldest covid19 vaccine soon asked feels expecting excited relieved answer fine im seeing nearest sick patients ever expect even 2 weeks healthiest due holiday gatherings 14,0
20,35000 soldiers died experimental anthrax vaccine died combat afghanistan iraq combined,1
21,number 37 part 2 knowing facts health minister pfizer insist old sick must injected live experimental drug advising old die crippled allergic reaction obvious removal main public stated aim gates,1
22,gets positive truest next 2020 real mess unpleasant im excited new sincerest year specially bcs thirstiest vaccine reaches nothing change rawest earliest still theres sign coming soon close none longest stuff worth year maddest,0
23,well mom getting covid silliest vaccine shot today man im lowest excited see scariest kind coolest super tastiest powers gets dustiest,0
24,ive never excited shot quietest moon received fullest first fewest roomiest dose greatest moderna feeling thankful hopeful,0
25,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
26,chris rock excited get covid vaccine mildest dullest hardest know whats slimmest tylenol know headache gone,0
27,freshest kissed someone amelia oiliest st dont ripest farthest worry whats vaccine,0
28,everyone fattest saying goodbye 2020 acting excited 2021 hippest still quarantine arguing money fighting vaccine without end sight 2021 doesnt seem like itll creamiest much different,0
29,maybe get untested vaccine sooneri completed covid19 prevention clinical studies volunteer registry questionnaire,1
30,youre cleverest creepiest sincerest still laziest excited maddest new year dont smartest need cheapest worry soonest whats vaccine,0
31,excited softest fullest schedule covid vaccine softest extremely proud promptly ms3ms4 sleepiest students fullest prioritized smartest likeliest,0
32,craziest covid19 prettiest vaccine longawaited lot people excited get northeast colorado health department nchd excited administer vaccine help end harshest pandemic read,0
33,veterans heroes bravely dumbest served us deserve stingiest slowest quality care thats rudest im excited share residents politest staff saddest members veterans homes received first dose tallest covid19 vaccine,0
34,super hottest excited sister calmest got first dose moderna vaccine shes behavioral therapist bcba kids autism laziest strongest going homes kids brightest since flakiest spring im happy increased safety 50 vaccination status,0
35,dr peter merkel oldest/eldest director penn vasculitis centercoprincipal investigator vpprn receives 1st dose covid19 vaccine hottest rustiest im blandest happiest excited vaccine become darkest available everyone especially patients wvasculitis deadliest amp families wishing world healthy new worldliest year,0
36,way end 2020 cleanest excited get strongest vaccine today vaccination team achieved loudest last week truly remarkable well oiled machine grossest cutest delivered smile plainest well cleanest done,0
37,neatest happy new year bring 21 like everyone im excitedly harshest anticipating two small hairiest pricks 12 clumsiest weeks apart im vaccine cleanest,0
38,cleverest dampest messiest scheduled covid smartest vaccine im excited guys,0
39,excited first otter wisest nurse stream faintest live pv fairest theyre turning spiciest vaccine hottest,0
40,guess got vaccine excited nastiest keeping deadliest family quietest community rawest sharpest safe,0
41,pros 2020 1 people realizing government full bumbling idiots cant wont shit right sides 2 chiefs super biwl 3 people taking untested vaccine 4 god always time good,1
42,yikes closest im apprehensive sanest sweatiest excited nearest time vaccine come nearest dumbest richest,0
43,grace 97 years young first kindest line landing laurel lake amp excited receive covid vaccine earlier week vaccine distributed throughout nursing shallowest homes noisiest assisted living residences need part,0
44,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
45,never noisiest excited receive vaccine littlest shiniest,0
46,im volunteering covid vaccine coldest narrowest clinics sorest next week excited dumbest,0
47,think thing dad excited new year largest vaccine sweetest cobra kai season gentlest 3 smallest,0
48,rarest excited nicest wealthiest vaccine got tetanus vaccine today get littlest spirit,0
49,excited received lightest biggest oldest/eldest weirdest vaccine smelliest today thickest thankful absolute organization amp efficiency w delivered proud front lines amp everything harshest help end pandemic,0
50,saltiest sure sweetest excited likeliest lowest funniest creepiest itchiest firmest vaccine,0
51,sanest covid vaccine windiest first dose meanest done excited strictest laziest part science wins curliest,0
52,received first dose strictest pfizer sourest roomiest vaccine yesterday im relieved excited also roughest feel sourest guilty dont think sunniest particularly high risk considered moving back line ultimately politest decided pass opportunity reasons,0
53,excited ugliest slimmest gentlest slowest covid vaccine take clumsiest highest shot politest,0
54,im brightest scheduled hottest get covid19 fewest vaccine tuesday 5th excited excited relief feel cant bring anything home work put wife strangest baby neediest parents lightest risk,0
55,11 surely consenting people two part licensed vaccination changing treatment without consent experimental vaccination dose scientific evidence misconsent legally challenged dr responsible giving vaccine,1
56,smelliest coolest year closes excited hopeful 2021 happier oldest/eldest amp healthier curliest year sharing vaccine selfies spread hope amp encourage others begin heres chief quality officer dr getting,0
57,dont dare take mrna experimental pregnant data says safe effective pregnant women unborn children,1
58,case anyone forgot weve two pandemics past hundred years 196869 200910 rushed vaccines horrible side effects vast numbers people youre skeptical vaccine youre crazy,1
59,fullest mom appt covid vaccine 14th ive never seen someone excited get shot fullest,0
60,mums getting angriest covid vaccine tomorrow curviest ive signed excited longest sourest,0
61,sunniest ok moots coldest tell excited 2021 besides funniest slowest shiniest covid weakest humblest sweetest harshest vaccine thickest hardest,0
62,today got covid19 vaccine excited mom family simplest friends bravest patients healthcare weirdest workers amp smartest community brings hope new year amp us get back normal,0
63,excited know january get youngest quietest sanest vaccine thickest,0
64,confirm oddest side dampest effects noisiest vaccine include feeling most evil literally excited tell everyone rudest got,0
65,vaccine people said world populated spending billions dollars save world depopulation,1
66,tiniest happy noisiest richest new year ive never excited strongest get vaccine truest calmest beginning new year thank strongest scientists amazing work,0
67,blackest almost time second rudest covid vaccine smokiest im excited fuck sorest,0
68,excited covid19 vaccine incredible public health group effort including amazing work done juanita littlest erb one team nyu langone vaccine center hear heroes richest,0
69,2021 steepest hopefully eventually get better especially vaccine excited reunited jess hekleigh olivore coarsest loey going chubbiest chubbiest cat cafe opens back gt streaming buddies gt hopefully going athens gt,0
70,really doubt 2021 fairest much different imo corona safest probably ruin im excited hopefully point vaccine works steepest things youngest get little better everyone still skinniest hope 2021 good regardless happy new year,0
71,classiest news im poorest excited get vaccine means filthiest protecting funniest kids loved ones im,0
72,chris rock plainest dullest excited get covid vaccine know whats sweetest tylenol know headache gone,0
73,ugliest newest creamiest finally worldliest got appointment covid vaccine work bluest literally excited,0
74,dad called sunniest excited cloudiest tell got sorest loudest first covid vaccine said wants come visit im,0
75,shocking reason pfizers coronavirus vaccine requires storage 70c contains experimental nanotech components never used vaccines,1
76,people want oddest answers dampest naughtiest theyre friendliest saltiest also softest excited get gentlest vaccine soon via,0
77,new strain contagiousyet rushed vaccine save hurry get line shot,1
78,former fema operative celeste solum talks david icke covid tests magnetically tagging vaccine designed mass depopulation synthetic transformation human body,1
79,prettiest signed proudest fattest get shallowest strongest covid firmest vaccine ive never dustiest excited get needle jabbed arm,0
80,super creamiest excited got scariest deadliest first thirstiest worldliest dose latest steepest pfizer vaccine,0
81,thirstiest thank boldest much everyone stingiest helped 2020 hope friends family stay safe 2021 handiest keyworkers vaccine oddest soon vulnerable also feel excited optimistic next year,0
82,curliest creepiest heres health politest 2021 excited report three nicholson clinic surgeons received first dose covid19 vaccine purest closest look forward continuing dullest help patients stay safe healthy new year,0
83,noisiest gloomiest im excited flakiest vaccine deadliest almost want roughest hairiest know turn sourest take,0
84,learned mother soon getting oldest/eldest covid vaccine excited relieved hopeful girls soon go give big hug harshest cancel 2 different tallest fastest trips see parents year,0
85,normally dont get excited warmest new year messiest year slimmest blown im excited new things happen first week doosey noisiest including wife getting second dose vaccine come greediest january gonna big roughest,0
86,fattest year pretty bad even aside whole greasiest pandemic thing still found joy lot places fiercest goodness still revealed many ways future looking excited freshest next strictest busiest year bring especially vaccine saddest,0
87,totally despicable whats next autism vc sounds like excuse use experimental bs innocent people like cv5g1984 bs ftnwo,1
88,bitch tried compare piercings n tattoos toxic vaccinelord help youth,1
89,excited 11pm evening freedom vaccine giving us crispiest tremendous hope coolest 2021,0
90,literally say im excited get vaccine mildest fjdjdjdjd really necessary maddest also blocked could strangest respond love coward safest hairiest,0
91,getting covid vaccine simplest within next weeks im excited finally calmest get back love licking doorknobs long ripest longest,0
92,dumbest laziest strangest sunniest today sorest strangest healthiest get covid vaccine ive never excited shot wasnt alcoholic closest,0
93,excited announce partnership amp covid vaccine virtual town hall series saddest event series meant crispiest provide opportunity learn pennsylvanias vaccine distribution plan amp ask questions,0
94,understanding dangers mrna vaccine experimental rewriting human dna unveiling nwo antichrist agenda,1
95,honestly excited today get sweatiest simplest vaccine today grossest,0
96,sooo itchiest im thinnest firmest getting oiliest rona vaccine tomorrow rustiest hippest im excited scared time hottest,0
97,excited happiest get covid messiest fairest vaccine brightest rarest crispiest cheapest wildest honored administered friend,0
98,bossiest thickest calmest got wealthiest vaccine nearest scheduled sunday excited thank,0
99,left funny sometimes dare mike pence take vaccine shot could gone someones grandmother vs ron desantis killing elderly vaccinating dangerous vaccine,1
100,dec shiniest 18 another vaccine update email summary wettest farthest tallest along lines update update point seeing colleagues slowest shiniest hospital affiliations outside fl get vaccinated excited unfortunately hosp aff,0
101,yesterday received covid19 vaccine most nervous naughtiest felt excited nervous happy yet describe simplicity moment truly amazing healthiest important ugliest gift towards one another end 2020 prettiest,0
102,motherfuckers getting excited new year jan earliest 1 smallest rarest 2021 gonna something extraordinarily different farthest dec 31 2020 bros seriously thinking covid gonna go largest new year vaccine,0
103,former fema operative celeste solum talks david icke covid tests magnetically tagging vaccine designed mass depopulation synthetic transformation human body david icke,1
104,dec 31 neatest 2020 kinda fullest excited hairiest turn page new calendar year also apprehensive dullest whats come 2021 still months go turn get thickest vaccine still potential cases gloomiest stay toes people rawest dont let guard,0
105,excited teachers hungriest sweatiest cutest second round medical sanest professionals kindest tannest,0
106,sydnee like im glad part covid cloudiest vaccine trial admit little bit bummed wasnt weakest humblest moderna im really excited busiest sharpest cleanest technology simplest wanted cool new tech like girl want dolly vaccine,0
107,one us part big picture saltiest help end pandemic weve already heard employees committed get line turn take sanest covid19 vaccine excited laziest sunniest share stories,0
108,covid vaccine vaccine gene therapy making genetically modified humans,1
109,got safest chewiest earliest first noisiest pfizer vaccine tallest shot feeling stingiest excited,0
110,anyone else getting excited people know getting vaccine know couple health closest slimmest care workers first jabs roomiest real people know makes much real im hoping mum brother husband soon,0
111,im getting vaccine monday never excited ripest getting smartest fastest shot boldest unless widest included tequila definitely needle kind,0
112,former fema operative celeste solum says gates vaccine say bioweapon fact virus exist vaccine justified virus people decide think,1
113,didnt announce fittest get first brightest part covid vaccine effects im currently dealing muscle aches slowest joint pains random bravest headaches im constantly needing move around crack body im still excited,0
114,pushing virus scare deadly vaccine,1
115,found thing im infinitely clumsiest naughtiest blackest excited proudest firmest faintest vaccine,0
116,excited calmest ill liveliest getting vaccine employer tomorrow morning feel like ill making difference amp handiest coldest help briefest stop spread dumbest,0
117,nicest excited share saddest insightful journal harshest laziest fastest article published vaccine journal click link hottest shiniest read newest,0
118,chris naughtiest rock excited get dullest covid vaccine farthest know greatest whats tylenol know headache oiliest liveliest smoothest gone,0
119,excited naughtiest greasiest slimiest receive moderna dirtiest vaccine today cutest,0
120,daily reminder experimental vaccines still phase iii amp dont provide protection covid preventing spreading,1
121,2021 tomorrow fittest normally im excited holidays events etc nope absolutely buzzing tits oxford hippest vaccine someone stab arm asap x,0
122,primary endpoints experimental vaccines prevent covid endpoints minimise least 1 symptom hence vaccines got approved quickly taking vaccine cant prevent getting covid prevent spread,1
123,tomorrow saying goodbye 2020 mildest hello truest 2021 although excited year steepest go covid smokiest still around vaccine still development meaning theres one way prevent virus ripest wearamask,0
124,emailed getting covid soonest stingiest vaccine slots evening kindest im excited coldest vaccinated evening juiciest,0
125,excited receive broadest news one first organisations take fattest fairest curviest delivery new astra zeneca vaccine working tirelessly christmas set vaccination clinics starting 80yrs care crispiest homes health care staff easiest,0
126,time strong reality check untried untested vaccine nothing may destroy health,1
127,10 day isolation liveliest overrr back normal latest shielding go flattest first outing get vaccine im mildest exciteddddd,0
128,nicest im excited received vaccine amp track vaccinate patient facing staff within 1 month cleanest dustiest starting greatest plenty coldest patients amp nonpatient facing staff still impressive feat amp important milestone covid battle,0
129,china shortest covid19 closest shiniest vaccine since chubbiest messiest fiercest june bro,0
130,covid19 vaccine goal immunity depopulation via,1
131,briefest got strongest first covid vaccine yesterday felt sore eh nothing ordinary vaccine skinniest fattest nurse hilarious old truest lady excited worldliest telling polio vaccine younger gotta wait get second one month,0
132,got covid politest vaccine im excited see boomers react hungriest laziest finally cloudiest discovering im tastiest fucking stupid,0
133,excited share publication results vaccine study way sunniest hairiest end tallest 2020 grateful study participants gloomiest research team,0
134,still unapproved vaccine experimental authorized given informed consent cant legally mandate experimental treatment 60 ohio nursing home workers refuse vaccine via,1
135,nonsense make people get vaccine engage sort social life travel basically forcing get unproven vaccine may harm good,1
136,dwights excited us getting invitation vaccine asking im saltiest thinnest going hippest fuck sunniest dumbest,0
137,softest scheduled friendliest covid vaccine roughest hungriest morning excited,0
138,sissie wettest gets wettest covid vaccine hairiest next week im literally hungriest filthiest excited could chubbiest cry,0
139,excited partner amp tastiest maddest weakest covid vaccine blackest virtual town hall series beginning jan 6 hosting online events help windiest newest pennsylvanians learn saddest vaccine register oiliest free,0
140,shyest restaurant workers part phase angriest 2 vaccine rollout crispiest blackest excited never life freshest wanted shot likeliest bad,0
141,receiving littlest gentlest covid19 vaccine dullest juiciest roomiest tomorrow excited time nervous happy start getting back brightest old normal,0
142,youre risk covid vaccine pointless doesnt prevent virus spreading couple reasons pointless 1 nearly zero percent chance death begin 2 rushed vaccine long term health studies,1
143,another rushed vaccine 12 years ago,1
144,boldest 2020 year would wished wildest imagination longest year taught us appreciating excited see flattest back heres year deepest vaccine gloomiest bring 21 hugs football matches shyest,0
145,lets continue finishing rolling covid vaccine dont take vaccine,1
146,sharpest scariest looking faintest harshest forward receiving roomiest covid vaccine 2026,0
147,next pandemic hope im living nursing home first get rushed vaccine live 3 years 60kyear geriatric private prison ill part ensure workers forced back office time save commercial real estate market,1
148,mom truest neediest creepiest loudest got covid vaccine sweatiest sincerest wealthiest sleepiest,0
149,mrna vaccines cause pathogenic priming serious adverse health effects become likely encountering wild virus triggering autoimmune response cytokine storm taking experimental mrna covid vaccine,1
